ID,Value1,Value2,Value3,OrderField,Active
1,Aalbes,Ribes rubrum L.,7195,,1
2,Aangebrande orchis,Orchis ustulata L.,6597,,1
3,Aardaker,Lathyrus tuberosus L.,6083,,1
4,Aardbeiganzerik,Potentilla sterilis (L.) Garcke,7010,,1
5,Aardbeiklaver,Trifolium fragiferum L.,8013,,1
6,Aarddistel,Cirsium acaule Scop.,4919,,1
7,Aardpeer,Helianthus tuberosus L.,5781,,1
8,Aarvederkruid,Myriophyllum spicatum L.,6477,,1
9,Absintalsem,Artemisia absinthium L.,4260,,1
10,Adderwortel,Polygonum bistorta L.,6913,,1
11,Adelaarsvaren,Pteridium aquilinum (L.) Kuhn,7058,,1
12,Agrostis scabra Willd.,Agrostis scabra Willd.,3977,,1
13,Akkerandoorn,Stachys arvensis (L.) L.,7817,,1
14,Akkerboterbloem,Ranunculus arvensis L.,7113,,1
15,Akkerdistel,Cirsium arvense (L.) Scop.,4920,,1
16,Akkerdoornzaad,Torilis arvensis (Huds.) Link,7971,,1
17,Akkerdravik,Bromus arvensis L.,4486,,1
18,Akkerereprijs,Veronica agrestis L.,8159,,1
19,Akkergeelster,Gagea villosa (Bieb.) Duby,5614,,1
20,Akkerhoornbloem,Cerastium arvense L.,4816,,1
21,Akkerkers,Rorippa sylvestris (L.) Besser,7215,,1
22,Akkerklokje,Campanula rapunculoides L.,4613,,1
23,Akkerkool,Lapsana communis L.,6057,,1
24,Akkerleeuwenbek,Misopates orontium (L.) Rafin.,6419,,1
25,Akkermelkdistel,Sonchus arvensis L.,7748,,1
26,Akkermunt,Mentha arvensis L.,6368,,1
27,Akkervergeet-mij-nietje,Myosotis arvensis (L.) Hill,6457,,1
28,Akkerviltkruid,Filago arvensis L.,5564,,1
29,Akkerviooltje,Viola arvensis Murray,8234,,1
30,Akkerwalstro,Galium spurium L.,5661,,1
31,Akkerwinde,Convolvulus arvensis L.,4985,,1
32,Alpenandoorn,Stachys alpina L.,7815,,1
33,Alpenbes,Ribes alpinum L.,7192,,1
34,Alpenrus,Juncus alpinoarticulatus Chaix,5981,,1
35,Amandelwilg,Salix triandra L.,7426,,1
36,Amandelwolfsmelk,Euphorbia amygdaloides L.,5473,,1
37,Amerikaans krentenboompje,Amelanchier lamarckii F.G. Schroeder,4103,,1
38,Amerikaanse eik,Quercus rubra L.,7102,,1
39,Amerikaanse kruidkers,Lepidium virginicum L.,6122,,1
40,Amerikaanse vogelkers,Prunus serotina Ehrh.,7039,,1
41,Appel (wild + gekweekt),Malus sylvestris (L.) Mill.,6296,,1
42,Armbloemige waterbies,Eleocharis quinqueflora (F.X. Hartm.) O.,5328,,1
43,Asperge,Asparagus officinalis L.,4287,,1
44,Avondkoekoeksbloem,Silene latifolia Poiret subsp. alba (Mil,7666,,1
45,Baardgras,Polypogon monspeliensis (L.) Desf.,6935,,1
46,Baccharis halimifolia L.,Baccharis halimifolia L.,4387,,1
47,Basterdklaver,Trifolium hybridum L.,8017,,1
48,Basterdwederik species,Epilobium species,5368,,1
49,Beekpunge,Veronica beccabunga L.,8165,,1
50,Beemdgras species,Poa species+C1363,6876,,1
51,Beemdkamgras,Cynosurus cristatus L.,5121,,1
52,Beemdkroon,Knautia arvensis (L.) Coulter,6020,,1
53,Beemdlangbloem,Festuca pratensis Huds.,5547,,1
54,Beemdooievaarsbek,Geranium pratense L.,5701,,1
55,Beenbreek,Narthecium ossifragum (L.) Huds.,6493,,1
56,Behaard breukkruid,Herniaria hirsuta L.,5815,,1
57,Behaarde boterbloem,Ranunculus sardous Crantz,7139,,1
58,Beklierde basterdwederik,Epilobium ciliatum Rafin.,5358,,1
59,Beklierde duizendknoop,Polygonum lapathifolium L.,6919,,1
60,Beklierde ogentroost,Euphrasia officinalis L.,5507,,1
61,Bergbasterdwederik,Epilobium montanum L.,5363,,1
62,Bergbeemdgras,Poa chaixii Vill.,6867,,1
63,Bergdravik,Bromus erectus Huds.,4494,,1
64,Bergerwt,Astragalus cicer L.,4332,,1
65,Berghertshooi,Hypericum montanum L.,5909,,1
66,Bergklokje,Campanula rhomboidalis L.,4615,,1
67,Bergnachtorchis,Platanthera chlorantha (Cust.) Reichenb.,6863,,1
68,Berk,Betula tremula/alba,4429,,1
69,Bermooievaarsbek,Geranium pyrenaicum Burm. f.,5704,,1
70,Betonie,Stachys officinalis (L.) Trev.,7820,,1
71,Beuk,Fagus sylvatica L.,5523,,1
72,Beursjesganzenvoet,Chenopodium chenopodioides (L.) Aell.,4867,,1
73,Beverneltorkruid,Oenanthe pimpinelloides L.,6548,,1
74,Bevertjes,Briza media L.,4482,,1
75,Bezemkruiskruid,Senecio inaequidens DC.,7610,,1
76,Biestarwegras,Elymus farctus (Viv.) Runemark ex Melder,5344,,1
77,Biezenknoppen,Juncus conglomeratus L.,5995,,1
78,Bijeorchis,Ophrys apifera Huds.,6581,,1
79,Bijvoet,Artemisia vulgaris L.,4276,,1
80,Bilzekruid,Hyoscyamus niger L.,5895,,1
81,Bitter barbarakruid,Barbarea intermedia Boreau,4394,,1
82,Bittere veldkers,Cardamine amara L.,4636,,1
83,Bittere wilg,Salix purpurea L.,7417,,1
84,Bitterzoet,Solanum dulcamara L.,7717,,1
85,Blaartrekkende boterbloem,Ranunculus sceleratus L.,7140,,1
86,Blaassilene,Silene vulgaris (Moench) Garcke,7678,,1
87,Blaasvaren,Cystopteris fragilis (L.) Bernh.,5140,,1
88,Blaaszegge,Carex vesicaria L.,4739,,1
89,Bladgreppelrus,Juncus foliosus Desf.,5999,,1
90,Blauw glidkruid,Scutellaria galericulata L.,7570,,1
91,Blauw kweldergras,Puccinellia fasciculata (Torr.) E.P. Bic,7069,,1
92,Blauw walstro,Sherardia arvensis L.,7646,,1
93,Blauwe bosbes,Vaccinium myrtillus L.,8109,,1
94,Blauwe bremraap,Orobanche purpurea Jacq.,6628,,1
95,Blauwe druifjes,Muscari botryoides (L.) Mill.,6450,,1
96,Blauwe knoop,Succisa pratensis Moench,7855,,1
97,Blauwe monnikskap,Aconitum napellus L.,3929,,1
98,Blauwe zeedistel,Eryngium maritimum L.,5457,,1
99,Blauwe zegge,Carex panicea L.,4717,,1
100,Blauwgras,Sesleria caerulea (L.) Ard.,7633,,1
101,Blazenstruik,Colutea arborescens L.,4964,,1
102,Bleek bosvogeltje,Cephalanthera damasonium (Mill.) Druce,4808,,1
103,Bleek kweldergras,Puccinellia capillaris (Liljebl.) Jansen,7066,,1
104,Bleekgeel blaasjeskruid,Utricularia ochroleuca R. Hartm.,8102,,1
105,Bleekgele droogbloem,Gnaphalium luteoalbum L.,5738,,1
106,Bleekgele hennepnetel,Galeopsis segetum Neck.,5631,,1
107,Bleeksporig bosviooltje,Viola riviniana Reichenb.,8250,,1
108,Bleke basterdwederik,Epilobium roseum Schreb.,5367,,1
109,Bleke en ijle bermzegge,Carex divulsa Stokes,4681,,1
110,Bleke klaproos,Papaver dubium L.,6674,,1
111,Bleke morgenster,Tragopogon dubius Scop.,7985,,1
112,Bleke zegge,Carex pallescens L.,4716,,1
113,Bloedzuring,Rumex sanguineus L.,7352,,1
114,Blonde zegge,Carex hostiana DC.,4698,,1
115,Bochtig havikskruid,Hieracium maculatum Schrank,5835,,1
116,Bochtige klaver,Trifolium medium L.,8021,,1
117,Bochtige smele,Deschampsia flexuosa (L.) Trin.,5192,,1
118,Boerenwormkruid,Tanacetum vulgare L.,7887,,1
119,Bokkeorchis,Himantoglossum hircinum (L.) Spreng.,5850,,1
120,Boksdoorn,Lycium barbarum L.,6253,,1
121,Bolderik,Agrostemma githago L.,3985,,1
122,Bolletjesraket,Rapistrum rugosum (L.) All.,7156,,1
123,Bont kroonkruid,Securigera varia (L.) Lassen,5013,,1
124,Bonte krokus,Crocus vernus (L.) Hill,5088,,1
125,Bonte paardenstaart,Equisetum variegatum Schleich.,5397,,1
126,Borstelbies,Scirpus setaceus L.,7540,,1
127,Borstelgras,Nardus stricta L.,6492,,1
128,Borstelkrans,Clinopodium vulgare L.,7492,,1
129,Bosaardbei,Fragaria vesca L.,5584,,1
130,Bosandoorn,Stachys sylvatica L.,7824,,1
131,Bosanemoon,Anemone nemorosa L.,4147,,1
132,Bosbies,Scirpus sylvaticus L.,7542,,1
133,Bosbingelkruid,Mercurialis perennis L.,6397,,1
134,Bosboterbloem,Ranunculus serpens Schrank,7141,,1
135,Bosdroogbloem,Gnaphalium sylvaticum L.,5740,,1
136,Bosereprijs,Veronica montana L.,8174,,1
137,Bosgeelster,Gagea lutea (L.) Ker-Gawl.,5610,,1
138,Bosgierstgras,Milium effusum L.,6405,,1
139,Boshavikskruid,Hieracium sabaudum L.,5841,,1
140,Boshyacint,Hyacinthoides non-scripta (L.) Chouard e,7522,,1
141,Boskers,Prunus avium (L.) L.,7028,,1
142,Bosklit,Arctium nemorosum Lej.,4221,,1
143,Boskortsteel,Brachypodium sylvaticum (Huds.) Beauv.,4470,,1
144,Boskruiskruid,Senecio sylvaticus L.,7617,,1
145,Boslathyrus,Lathyrus sylvestris L.,6082,,1
146,Bosmuur,Stellaria nemorum L.,7834,,1
147,Bosooievaarsbek,Geranium sylvaticum L.,5709,,1
148,Bosorchis,Dactylorhiza fuchsii (Druce) So¢,5147,,1
149,Bospaardenstaart,Equisetum sylvaticum L.,5395,,1
150,Bosrank,Clematis vitalba L.,4944,,1
151,Bosroos,Rosa arvensis Huds.,7218,,1
152,Bostulp,Tulipa sylvestris L.,8069,,1
153,Bosveldkers,Cardamine flexuosa With.,4638,,1
154,Bosvergeet-mij-nietje,Myosotis sylvatica Ehrh. ex Hoffmann,6468,,1
155,Bosviooltje,Viola riviniana/reichenbachiana,8248,,1
156,Boswederik,Lysimachia nemorum L.,6270,,1
157,Boswilg,Salix caprea L.,7396,,1
158,Boszegge,Carex sylvatica Huds.,4734,,1
159,Bottelroos,Rosa villosa L.,7253,,1
160,Bouchon's amarant,Amaranthus bouchonii Thell.,4069,,1
161,Braam (Gewone),Rubus 'fruticosus' groep,7278,,1
162,Brave hendrik,Chenopodium bonus-henricus L.,4863,,1
163,Brede lathyrus,Lathyrus latifolius L.,6072,,1
164,Brede orchis,Dactylorhiza fistulosa (Moench) H. Bauma,5156,,1
165,Brede stekelvaren,Dryopteris dilatata (Hoffm.) A. Gray,5273,,1
166,Brede waterpest,Elodea canadensis Michaux,5335,,1
167,Brede wespeorchis,Epipactis helleborine (L.) Crantz,5377,,1
168,Brede wolfsmelk,Euphorbia platyphyllos L.,5495,,1
169,Breed fakkelgras,Koeleria pyramidata (Lam.) Beauv.,6028,,1
170,Breed klokje,Campanula latifolia L.,4607,,1
171,Breed wollegras,Eriophorum latifolium Hoppe,5430,,1
172,Bruin cypergras,Cyperus fuscus L.,5131,,1
173,Bruine snavelbies,Rhynchospora fusca (L.) Ait. f.,7190,,1
174,Bruinrode wespeorchis,Epipactis atrorubens (Hoffmann) Besser,5376,,1
175,Bultkroos,Lemna gibba L.,6095,,1
176,Buntgras,Corynephorus canescens (L.) Beauv.,5028,,1
177,Campanula portenschlagiana Schult.,Campanula portenschlagiana Schult.,4611,,1
178,Canadees vlotgras,Glyceria canadensis (Michaux) Trin.,5727,,1
179,Canadese fijnstraal,Conyza canadensis (L.) Cronq.,5421,,1
180,Canadese guldenroede,Solidago canadensis L.,7739,,1
181,Canadese rus,Juncus canadensis J. Gay ex Laharpe,5992,,1
182,Chinese bruidssluier,Fallopia aubertii (L. Henry) Holub,6910,,1
183,Chinese naaldaar,Setaria faberi W. Herrmann,7636,,1
184,Christoffelkruid,Actaea spicata L.,3936,,1
185,Cineraria,Senecio cineraria DC.,7604,,1
186,Cipreswolfsmelk,Euphorbia cyparissias L.,5477,,1
187,Citroengele honingklaver,Melilotus officinalis Lam.,6355,,1
188,Cornus sericea L.,Cornus sericea L.,5007,,1
189,Corsicaanse den,Pinus nigra,6828,,1
190,Cotoneaster dielsianus Pritzel,Cotoneaster dielsianus Pritzel,5034,,1
191,Cotoneaster rehderi Pojark.,Cotoneaster rehderi Pojark.,5042,,1
192,Cotoneaster salicifolius Franch.,Cotoneaster salicifolius Franch.,5043,,1
193,Cotoneaster simonsii Baker,Cotoneaster simonsii Baker,5044,,1
194,Cotoneaster sternianus (Turr.) Boom,Cotoneaster sternianus (Turr.) Boom,5046,,1
195,Cyperzegge,Carex bohemica Schreb.,4668,,1
196,Dagkoekoeksbloem,Silene dioica (L.) Clairv.,7664,,1
197,Dalkruid,Maianthemum bifolium (L.) F.W. Schmidt,6286,,1
198,Damastbloem,Hesperis matronalis L.,5817,,1
199,Daslook,Allium ursinum L.,4031,,1
200,Dauwbraam,Rubus caesius L.,7265,,1
201,Dauwnetel,Galeopsis speciosa Mill.,5633,,1
202,Deens lepelblad,Cochlearia danica L.,4952,,1
203,Dennenorchis,Goodyera repens (L.) R. Brown,5743,,1
204,Dennenwolfsklauw,Huperzia selago (L.) Bernh. ex Schrank e,6262,,1
205,Dicht havikskruid,Hieracium lachenalii C.C. Gmel.,5846,,1
206,Dicht langbaardgras,Vulpia fasciculata (Forssk.) Fritsch,8264,,1
207,Dichtbloemige duivekervel,Fumaria densiflora DC.,5600,,1
208,Dichtbloemige kruidkers,Lepidium densiflorum Schrad.,6113,,1
209,Dichte bermzegge,Carex muricata L.,4707,,1
210,Dittrichia viscosa (L.) W. Greuter,Dittrichia viscosa (L.) W. Greuter,5247,,1
211,Doffe ereprijs,Veronica opaca Fries,8176,,1
212,Dolik,Lolium temulentum L.,6205,,1
213,Dolle kervel,Chaerophyllum temulum L.,4847,,1
214,Donderkruid,Inula conyzae (Griesselich) Meikle,5940,,1
215,Donkere ooievaarsbek,Geranium phaeum L.,5700,,1
216,Donkergroene basterdwederik,Epilobium obscurum Schreb.,5364,,1
217,Donkersporig bosviooltje,Viola reichenbachiana Jord. ex Boreau,8249,,1
218,Donzige klit,Arctium tomentosum Mill.,4224,,1
219,Doorgroeid fonteinkruid,Potamogeton perfoliatus L.,6982,,1
220,Doorgroeiende boerenkers,Thlaspi perfoliatum L.,7948,,1
221,Doornappel,Datura stramonium L.,5179,,1
222,Doorschijnend sterrenkroos,Callitriche truncata Guss. subsp. occide,4583,,1
223,Doorwas,Bupleurum rotundifolium L.,4540,,1
224,Dotterbloem,Caltha palustris L.,4589,,1
225,Douglas,Pseudotsuga menziesii,7053,,1
226,Douglaspluimspirea,Spiraea douglasii Hook.,7799,,1
227,Draadereprijs,Veronica filiformis Smith,8169,,1
228,Draadgentiaan,Cicendia filiformis (L.) Delarbre,4904,,1
229,Draadklaver,Trifolium filiforme L.,8022,,1
230,Draadrus,Juncus filiformis L.,5998,,1
231,Draadzegge,Carex lasiocarpa Ehrh.,4701,,1
232,Dreps,Bromus secalinus L.,4515,,1
233,Driebloemige nachtschade,Solanum triflorum Nutt.,7731,,1
234,Driedelige waterranonkel,Ranunculus tripartitus DC.,7145,,1
235,Driedistel,Carlina vulgaris L.,4748,,1
236,Driehoornig walstro,Galium tricornutum Dandy,5664,,1
237,Driekantige bies,Scirpus triqueter L.,7543,,1
238,Driekleurig viooltje,Viola tricolor L.,8252,,1
239,Drienerfmuur,Moehringia trinervia (L.) Clairv.,6421,,1
240,Drienervige zegge,Carex trinervis Degl.,4736,,1
241,Drietallig glaskroos,Elatine triandra Schkuhr,5320,,1
242,Drijvend fonteinkruid,Potamogeton natans L.,6978,,1
243,Drijvende egelskop,Sparganium angustifolium Michaux,7771,,1
244,Drijvende waterweegbree,Luronium natans (L.) Rafin.,6236,,1
245,Dubbelkelk,Picris echioides L.,6807,,1
246,Dubbelloof,Blechnum spicant (L.) Roth,4453,,1
247,Duifkruid,Scabiosa columbaria L.,7504,,1
248,Duindoorn,Hippophae rhamnoides L.,5855,,1
249,Duindravik,Bromus thominei Hardouin,4499,,1
250,Duinfakkelgras,Koeleria albescens DC.,6025,,1
251,Duinlangbaardgras en gewimperd langbaardg,Vulpia ciliata Dum.,8263,,1
252,Duinpaardebloem,Taraxacum Wiggers sectie Erythrosperma (,7895,,1
253,Duinroosje,Rosa pimpinellifolia L.,7240,,1
254,Duinrus,Juncus anceps Laharpe,5983,,1
255,Duinviooltje,Viola curtisii E. Forster,8240,,1
256,Duinvogelmuur,Stellaria pallida (Dum.) Pir‚,7837,,1
257,Duinzwenkgras,Festuca juncifolia St-Amans,5539,,1
258,Duist,Alopecurus myosuroides Huds.,4041,,1
259,Duits viltkruid,Filago vulgaris Lam.,5571,,1
260,Duitse dot,Salix dasyclados Wimm.,7403,,1
261,Duitse gentiaan,Gentianella germanica (Willd.) B”rner,5687,,1
262,Duizendknoopfonteinkruid,Potamogeton polygonifolius Pourr.,6983,,1
263,Dunstaart,Parapholis strigosa (Dum.) C.E. Hubbard,6686,,1
264,Dwergbloem,Centunculus minimus L.,4128,,1
265,Dwerggras,Mibora minima (L.) Desv.,6402,,1
266,Dwergkroos,"Lemna minuta Humb., Bonpl. et Kunth",6097,,1
267,Dwergrus,Juncus pygmaeus L.C.M. Rich.,6003,,1
268,Dwergviltkruid,Filago minima (Smith) Pers.,5567,,1
269,Dwergvlas,Radiola linoides Roth,7105,,1
270,Dwergzegge,Carex viridula s.l.,4741,,1
271,Echt bitterkruid,Picris hieracioides L.,6808,,1
272,Echt duizendguldenkruid,Centaurium erythraea Rafn,4802,,1
273,Echt lepelblad,Cochlearia officinalis L.,4953,,1
274,Echte guldenroede,Solidago virgaurea L.,7744,,1
275,Echte heemst,Althaea officinalis L.,4054,,1
276,Echte kamille,Matricaria recutita L.,6317,,1
277,Echte koekoeksbloem,Lychnis flos-cuculi L.,6250,,1
278,Echte kruisdistel,Eryngium campestre L.,5455,,1
279,Echte valeriaan,Valeriana repens Host,8122,,1
280,Eekhoorngras,Vulpia bromoides (L.) S.F. Gray,8260,,1
281,Eenarig wollegras,Eriophorum vaginatum L.,5432,,1
282,Eenbes,Paris quadrifolia L.,6692,,1
283,Eenbloemig parelgras,Melica uniflora Retz.,6350,,1
284,Eenjarige hardbloem,Scleranthus annuus L.,7547,,1
285,Eenstijlige meidoorn,Crataegus monogyna Jacq.,5066,,1
286,Egelantier,Rosa rubiginosa L.,7242,,1
287,Egelboterbloem,Ranunculus flammula L.,7122,,1
288,Eikvaren,Polypodium vulgare L.,6889,,1
289,Eironde leeuwenbek,Kickxia spuria (L.) Dum.,6019,,1
290,Eivormige waterbies,Eleocharis ovata (Roth.) Roem. et Schult,5323,,1
291,Elzenzegge,Carex elongata L.,4689,,1
292,Engels gras,Armeria maritima Willd.,4241,,1
293,Engels raaigras,Lolium perenne L.,6199,,1
294,Engels slijkgras,Spartina townsendii H. et J. Groves,7783,,1
295,Engelse alant,Inula britannica L.,5939,,1
296,Eragrostis curvula (Schrad.) Nees,Eragrostis curvula (Schrad.) Nees,5402,,1
297,Es (Gewone),Fraxinus excelsior L.,5590,,1
298,Es/Esdoorn,F. excelsior/A. pseudoplatanus,,,1
299,Esdoorn (Gewone),Acer pseudoplatanus L.,3914,,1
300,Esdoornganzenvoet,Chenopodium hybridum L.,4875,,1
301,Esparcette,Onobrychis viciifolia Scop.,6566,,1
302,Europese lork,Lariks deciduas,6059,,1
303,Fijn goudscherm,Bupleurum tenuissimum L.,4543,,1
304,Fijn hoornblad,Ceratophyllum submersum L.,4834,,1
305,Fijn schapegras,Festuca filiformis Pourr.,5535,,1
306,Fijne kervel,Anthriscus caucalis Bieb.,4177,,1
307,Fijne ooievaarsbek,Geranium columbinum L.,5691,,1
308,Fijne waterranonkel,Ranunculus aquatilis L.,7111,,1
309,Fijnspar,Picaea abies,6804,,1
310,Fioringras,Agrostis stolonifera L.,3982,,1
311,Fladderiep,Ulmus laevis Pallas,8083,,1
312,Florentijns havikskruid,Hieracium piloselloides Vill.,5840,,1
313,Fluitenkruid,Anthriscus sylvestris (L.) Hoffmann,4180,,1
314,Fraai duizendguldenkruid,Centaurium pulchellum (Sw.) Druce,4804,,1
315,Fraai hertshooi,Hypericum pulchrum L.,5911,,1
316,Fraaie vrouwenmantel,Alchemilla mollis (Buser) Rothm.,4006,,1
317,Framboos,Rubus idaeus L.,7284,,1
318,Franse aardkastanje,Conopodium majus (Gouan) Loret,4974,,1
319,Franse silene,Silene gallica L.,7665,,1
320,Franse veldbies,Luzula forsteri (Smith) DC.,6239,,1
321,Galega,Galega officinalis L.,5625,,1
322,Galigaan,Cladium mariscus (L.) Pohl,4933,,1
323,Gaspeldoorn,Ulex europaeus L.,8078,,1
324,Gebogen driehoeksvaren,Gymnocarpium dryopteris (L.) Newman,5759,,1
325,Geel cypergras,Cyperus flavescens L.,5130,,1
326,Geel nagelkruid,Geum urbanum L.,5717,,1
327,Geel viltkruid,Filago lutescens Jord.,5566,,1
328,Geel walstro,Galium verum L.,5667,,1
329,Geel zonneroosje,Helianthemum nummularium (L.) Mill.,5789,,1
330,Geelgroene vrouwenmantel,Alchemilla xanthochlora Rothm.,4011,,1
331,Geelgroene zegge,Carex demissa Vahl ex Hartm.,4711,,1
332,Geelhartje,Linum catharticum L.,6173,,1
333,Geelrode naaldaar,Setaria pumila (Poiret) Roem. et Schult.,7639,,1
334,Gegolfd fonteinkruid,Potamogeton zizii Koch ex Roth,6991,,1
335,Gehoornde klaverzuring,Oxalis corniculata L.,6646,,1
336,Gekielde dravik,Bromus carinatus Hook. Et Arnott,4489,,1
337,Geknikte vossenstaart,Alopecurus geniculatus L.,4040,,1
338,Gekroesd fonteinkruid,Potamogeton crispus L.,6974,,1
339,Gekroesde melkdistel,Sonchus asper (L.) Hill,7749,,1
340,Gekweekte peer,Pyrus communis L.,7090,,1
341,Gelderse roos,Viburnum opulus L.,8193,,1
342,Gele anemoon,Anemone ranunculoides L.,4149,,1
343,Gele dovenetel,Lamium galeobdolon (L.) L.,5624,,1
344,Gele ganzebloem,Chrysanthemum segetum L.,4902,,1
345,Gele helmbloem,Pseudofumaria lutea (L.) Borkh.,7049,,1
346,Gele hoornpapaver,Glaucium flavum Crantz,5719,,1
347,Gele kamille,Anthemis tinctoria L.,4173,,1
348,Gele kornoelje,Cornus mas,5005,,1
349,Gele lis,Iris pseudacorus L.,5959,,1
350,Gele monnikskap,Aconitum lycoctonum L. subsp. vulparia (,3932,,1
351,Gele morgenster,Tragopogon pratensis L.,7990,,1
352,Gele plomp,Nuphar lutea (L.) Smith,6522,,1
