plottype,plot_id,subplot_id,period,year,species,approx_nr_established_ha,approx_nr_seedlings_ha,approx_rubbing_damage_perc_established,approx_rubbing_damage_perc_seedlings,rubbing_damage_nr_established_ha,rubbing_damage_nr_seedlings_ha,mean_number_established_ha,lci_number_established_ha,uci_number_established_ha,mean_number_seedlings_ha,lci_number_seedlings_ha,uci_number_seedlings_ha,mean_rubbing_damage_perc_established,lci_rubbing_damage_perc_established,uci_rubbing_damage_perc_established,mean_rubbing_damage_perc_seedlings,lci_rubbing_damage_perc_seedlings,uci_rubbing_damage_perc_seedlings
CA,11000,155511,1,2000,,0,0,,,,,0,0,0,0,0,0,,,,,,
CA,11000,155512,1,2000,,0,0,,,,,0,0,0,0,0,0,,,,,,
CA,11000,155513,1,2000,,0,0,,,,,0,0,0,0,0,0,,,,,,
CP,2006,1,1,2001,7,0,1886.280807015056,,,,,0,0,0,1886.2808070464944,1886.2808070150563,1886.2808070779324,,,,,,
CP,2006,1,1,2001,16,0,628.7602690050187,,,,,0,0,0,628.7602690364567,628.7602690050187,628.7602690678947,,,,,,
CP,101,1,1,2002,7,157.19006725125467,1257.5205380100374,,,,,157.1900672591142,157.19006725125467,157.19006726697367,1257.5205380414754,1257.5205380100374,1257.5205380729135,,,,,,
CP,101,1,1,2002,16,314.38013450250935,44013.21883035131,,,,,314.38013451036886,314.38013450250935,314.3801345182284,44013.21883038275,44013.218830351325,44013.21883041418,,,,,,
CP,101,1,1,2002,28,0,628.7602690050187,,,,,0,0,0,628.7602690364567,628.7602690050187,628.7602690678947,,,,,,
CP,101,1,1,2002,39,314.38013450250935,0,,,,,314.38013451036886,314.38013450250935,314.3801345182284,0,0,0,,,,,,
CP,101,1,1,2002,64,0,1257.5205380100374,,,,,0,0,0,1257.5205380414754,1257.5205380100374,1257.5205380729135,,,,,,
CP,101,1,1,2002,87,0,1257.5205380100374,,,,,0,0,0,1257.5205380414754,1257.5205380100374,1257.5205380729135,,,,,,
CP,204,1,1,2003,6,47.7464829275686,0,,,,,47.74648292796648,47.7464829275686,47.74648292836437,0,0,0,,,,,,
CP,204,1,1,2003,26,0,63.66197723675813,,,,,0,0,0,61.64044440666364,47.74648292836436,79.57747154594767,,,,,,
CP,204,1,1,2003,39,7.957747154594767,0,,,,,7.957747154992654,7.957747154594767,7.957747155390541,0,0,0,,,,,,
CP,204,1,1,2003,63,31.830988618379067,238.732414637843,,,,,31.83098861917484,31.830988618336022,31.83098862001366,230.6374241368486,167.11269024728588,318.30988618379047,,,,,,
CP,204,1,1,2003,86,0,23.8732414637843,,,,,0,0,0,25.164606052872628,15.915494309985304,39.78873577297382,,,,,,
CP,204,1,1,2003,87,0,63.66197723675813,,,,,0,0,0,61.64044440666364,47.74648292836436,79.57747154594767,,,,,,
CP,1005,1,1,2007,,0,0,,,,,0,0,0,0,0,0,,,,,,
CA,141100,1,1,2007,14,1500,300,,,,,1500.00000001,1500.0000000016146,1500.0000000183852,316.2277660247436,200.00000000999995,499.9999999999999,,,,,,
CA,141100,1,1,2007,28,100,0,,,,,100.000000005,100,100.00000001,0,0,0,,,,,,
CA,141100,1,1,2007,39,300,0,,,,,300.00000000500006,300.00000000000006,300.00000001000006,0,0,0,,,,,,
CA,141100,1,1,2007,86,100,0,,,,,100.000000005,100,100.00000001,0,0,0,,,,,,
CA,141100,1,1,2007,89,100,10200,,,,,100.000000005,100,100.00000001,31880.497164162134,17972.373226931515,56551.579838723264,,,,,,
CA,141100,2,1,2007,14,2500,300,,,,,2500.0000000100003,2500.000000002489,2500.000000017512,316.2277660247436,200.00000000999995,499.9999999999999,,,,,,
CA,141100,2,1,2007,39,1200,300,,,,,1200.00000001,1199.999999999459,1200.000000020541,316.2277660247436,200.00000000999995,499.9999999999999,,,,,,
CA,141100,2,1,2007,71,1500,6000,,,,,1500.00000001,1500.0000000016146,1500.0000000183852,5796.550698489576,4615.630256524161,7279.612562697507,,,,,,
CA,141100,2,1,2007,89,0,10100,,,,,0,0,0,31780.497164157146,10100.000000010004,99999.99999999997,,,,,,
CA,141100,3,1,2007,14,2000,2300,,,,,2000.0000000049993,1999.9999999999989,2000.00000001,2257.8363666738123,1854.8774119179673,2748.3352947856456,,,,,,
CA,141100,3,1,2007,20,100,2300,,,,,100.000000005,100,100.00000001,2257.8363666738123,1854.8774119179673,2748.3352947856456,,,,,,
CA,141100,3,1,2007,39,300,300,,,,,300.00000000500006,300.00000000000006,300.00000001000006,316.2277660247436,200.00000000999995,499.9999999999999,,,,,,
CA,141100,3,1,2007,71,3000,20200,,,,,3000.0000000099985,3000.0000000016134,3000.000000018384,63560.99432831429,28259.542606421302,142960.55871357265,,,,,,
CA,141100,3,1,2007,87,0,300,,,,,0,0,0,316.2277660247436,200.00000000999995,499.9999999999999,,,,,,
CA,141100,3,1,2007,89,0,3100,,,,,0,0,0,2998.2753492497873,2552.180229106062,3522.3433546727574,,,,,,
CA,21000,1,1,2009,7,0,300,,,,,0,0,0,316.2277660247436,200.00000000999995,499.9999999999999,,,,,,
CA,21000,1,1,2009,16,0,8000,,,,,0,0,0,7810.249675913055,6100.000000009996,10000.000000000004,,,,,,
CA,21000,1,1,2009,27,0,300,,,,,0,0,0,316.2277660247436,200.00000000999995,499.9999999999999,,,,,,
CA,21000,1,1,2009,87,0,300,,,,,0,0,0,316.2277660247436,200.00000000999995,499.9999999999999,,,,,,
CA,21000,2,1,2009,7,0,1800,,,,,0,0,0,1799.467463450618,1368.851795092969,2365.5469230673566,,,,,,
CA,21000,2,1,2009,16,0,13100,,,,,0,0,0,34678.77251340192,19120.514028502963,62896.70148216404,,,,,,
CA,21000,2,1,2009,27,0,100,,,,,0,0,0,100.000000005,100,100.00000001,,,,,,
CA,21000,2,1,2009,87,0,300,,,,,0,0,0,316.2277660247436,200.00000000999995,499.9999999999999,,,,,,
CA,21000,3,1,2009,7,0,900,,,,,0,0,0,874.596669252938,769.7427935731275,993.733673449018,,,,,,
CA,21000,3,1,2009,16,0,10900,,,,,0,0,0,32555.093833405073,18096.530777631135,58565.597324977614,,,,,,
CA,21000,3,1,2009,27,0,100,,,,,0,0,0,100.000000005,100,100.00000001,,,,,,
CA,21000,3,1,2009,87,0,300,,,,,0,0,0,316.2277660247436,200.00000000999995,499.9999999999999,,,,,,
CP,2006,1,2,2011,7,4686.2288799280295,17330.204914450827,,,,,4686.228879932451,4686.22887992803,4686.228879936871,17330.204914486196,17330.204914459206,17330.204914513186,,,,,,
CA,11000,155511,2,2011,7,200,500,,,,,200.000000005,200,200.00000001,500.0000000099999,500.0000000024884,500.00000001751147,,,,,,
CA,11000,155521,2,2011,7,0,2000,,,,,0,0,0,2000.0000000100006,1999.9999999971158,2000.0000000228854,,,,,,
CA,11000,155521,2,2011,87,0,200,,,,,0,0,0,200.000000005,200,200.00000001,,,,,,
CA,11000,155531,2,2011,7,0,400,,,,,0,0,0,400.000000005,400,400.00000001,,,,,,
CA,11000,155531,2,2011,87,0,300,,,,,0,0,0,300.00000000500006,300.00000000000006,300.00000001000006,,,,,,
CP,204,1,2,2012,2,0,7.957747154594767,,,,,0,0,0,7.957747154992654,7.957747154594767,7.957747155390541,,,,,,
CP,204,1,2,2012,4,0,7.957747154594767,,,,,0,0,0,7.957747154992654,7.957747154594767,7.957747155390541,,,,,,
CP,204,1,2,2012,6,31.830988618379067,119.3662073189215,,,,,31.83098861917484,31.830988618336022,31.83098862001366,118.03246481772756,87.53521870133822,159.1549430918953,,,,,,
CP,204,1,2,2012,26,0,7.957747154594767,,,,,0,0,0,7.957747154992654,7.957747154594767,7.957747155390541,,,,,,
CP,204,1,2,2012,39,71.6197243913529,119.3662073189215,,,,,71.6197243917508,71.61972439135292,71.61972439214868,118.03246481772756,87.53521870133822,159.1549430918953,,,,,,
CP,204,1,2,2012,63,63.66197723675813,63.66197723675813,,,,,63.661977237553906,63.66197723594618,63.66197723916163,61.64044440666364,47.74648292836436,79.57747154594767,,,,,,
CP,204,1,2,2012,87,7.957747154594767,23.8732414637843,,,,,7.957747154992654,7.957747154594767,7.957747155390541,25.164606052872628,15.915494309985304,39.78873577297382,,,,,,
CP,101,1,2,2013,7,628.7602690050187,0,,,,,654.2687053405489,520.320750112157,822.6993420802964,0,0,0,,,,,,
CP,101,1,2,2013,16,7859.503362562734,81738.83497065243,,,,,7796.37379918286,6444.792757317161,9431.404035075278,80293.24206896593,68696.43935271015,93847.72751968289,,,,,,
CP,101,1,2,2013,28,471.570201753764,0,,,,,497.0786380814347,314.38013451822826,785.9503362562732,0,0,0,,,,,,
CP,101,1,2,2013,31,157.19006725125467,0,,,,,157.1900672591142,157.19006725125467,157.19006726697367,0,0,0,,,,,,
CP,101,1,2,2013,64,0,628.7602690050187,,,,,0,0,0,628.7602690364567,628.7602690050187,628.7602690678947,,,,,,
CP,1005,1,2,2016,,0,0,,,0,0,0,0,0,0,0,0,,,,,,
CA,141100,1,2,2017,14,400,0,0,,0,0,400.00000001,400.0000000029289,400.00000001707105,0,0,0,0,0,0,,,
CA,141100,1,2,2017,28,200,0,0,,0,0,200.000000005,200,200.00000001,0,0,0,0,0,0,,,
CA,141100,1,2,2017,39,100,0,0,,0,0,100.000000005,100,100.00000001,0,0,0,0,0,0,,,
CA,141100,1,2,2017,87,0,100,,0,0,0,0,0,0,100.000000005,100,100.00000001,,,,0,0,0
CA,141100,1,2,2017,89,0,3100,,0,0,0,0,0,0,2998.2753492497873,2552.180229106062,3522.3433546727574,,,,0,0,0
CA,141100,2,2,2017,14,200,0,0,,0,0,200.000000005,200,200.00000001,0,0,0,0,0,0,,,
CA,141100,2,2,2017,39,300,600,0,0,0,0,300.00000000500006,300.00000000000006,300.00000001000006,632.455532049487,457.4429685621371,874.4259448938617,0,0,0,0,0,0
CA,141100,2,2,2017,71,3000,0,0,,0,0,3000.0000000099985,3000.0000000016134,3000.000000018384,0,0,0,0,0,0,,,
CA,141100,2,2,2017,87,0,100,,0,0,0,0,0,0,100.000000005,100,100.00000001,,,,0,0,0
CA,141100,2,2,2017,89,0,10100,,0,0,0,0,0,0,31780.497164157146,10100.000000010004,99999.99999999997,,,,0,0,0
CA,141100,3,2,2017,14,100,0,0,,0,0,100.000000005,100,100.00000001,0,0,0,0,0,0,,,
CA,141100,3,2,2017,20,3000,6000,0,0,0,0,3000.000000005,3000.0000000000005,3000.00000001,5796.550698489576,4615.630256524161,7279.612562697507,0,0,0,0,0,0
CA,141100,3,2,2017,39,100,200,0,0,0,0,100.000000005,100,100.00000001,200.00000001,200.00000000292889,200.00000001707105,0,0,0,0,0,0
CA,141100,3,2,2017,71,6000,3000,0,0,0,0,6000.000000010001,6000.0000000029295,6000.000000017073,2898.275349244788,2100.0000000100003,3999.9999999999977,0,0,0,0,0,0
CA,141100,3,2,2017,87,200,100,0,0,0,0,200.000000005,200,200.00000001,100.000000005,100,100.00000001,0,0,0,0,0,0
CA,141100,3,2,2017,89,0,10100,,0,0,0,0,0,0,31780.497164157146,10100.000000010004,99999.99999999997,,,,0,0,0
CA,21000,17,2,2019,7,0,5000,,0,0,0,0,0,0,4959.838707060945,4100.00000001,5999.999999999998,,,,0,0,0
CA,21000,17,2,2019,16,0,10100,,0,0,0,0,0,0,31780.497164157146,10100.000000010004,99999.99999999997,,,,0,0,0
CA,21000,17,2,2019,27,0,3000,,0,0,0,0,0,0,2898.275349244788,2100.0000000100003,3999.9999999999977,,,,0,0,0
CA,21000,17,2,2019,39,0,100,,0,0,0,0,0,0,100.000000005,100,100.00000001,,,,0,0,0
CA,21000,17,2,2019,65,0,100,,0,0,0,0,0,0,100.000000005,100,100.00000001,,,,0,0,0
CA,21000,17,2,2019,87,0,100100,,0,0,0,0,0,0,316385.84039114334,100100.00000000994,1000000.0000000009,,,,0,0,0
CA,21000,18,2,2019,7,0,5300,,0,0,0,0,0,0,5276.06647308569,4116.965142262744,6761.504279611,,,,0,0,0
CA,21000,18,2,2019,16,0,100100,,0,0,0,0,0,0,316385.84039114334,100100.00000000994,1000000.0000000009,,,,0,0,0
CA,21000,18,2,2019,87,0,100100,,0,0,0,0,0,0,316385.84039114334,100100.00000000994,1000000.0000000009,,,,0,0,0
CA,21000,19,2,2019,7,0,5300,,0,0,0,0,0,0,5276.06647308569,4116.965142262744,6761.504279611,,,,0,0,0
CA,21000,19,2,2019,9,0,100,,0,0,0,0,0,0,100.000000005,100,100.00000001,,,,0,0,0
CA,21000,19,2,2019,16,100,101600,0,0,0,0,100.000000005,100,100.00000001,317869.080088569,175414.01724195044,576012.9872459765,0,0,0,0,0,0
CA,21000,19,2,2019,87,0,100100,,0,0,0,0,0,0,316385.84039114334,100100.00000000994,1000000.0000000009,,,,0,0,0
CP,2006,1,3,2021,7,6189.358898018152,11671.362493405659,0,0,0,0,6189.358898022574,6189.358898018155,6189.358898026994,11368.979119543168,8592.120719821176,15043.280982125056,0,0,0,0,0,0
CA,11000,155511,3,2021,7,1000,8800,0,0,0,0,1000.0000000100001,1000.0000000009336,1000.0000000190666,8584.846345160995,7187.1336589618495,10254.3782079419,0,0,0,0,0,0
CA,11000,155521,3,2021,7,1700,4500,0,0,0,0,1700.0000000099994,1699.9999999885608,1700.0000000314378,4381.515046670664,3517.145344453737,5458.311279195401,0,0,0,0,0,0
CA,11000,155531,3,2021,7,300,13100,0,0,0,0,300.00000000500006,300.00000000000006,300.00000001000006,34678.77251340192,19120.514028502963,62896.70148216404,0,0,0,0,0,0
CA,11000,155531,3,2021,16,0,800,,0,0,0,0,0,0,774.5966692479383,600.0000000099998,1000.0000000000001,,,,0,0,0
CA,11000,155531,3,2021,87,0,300,,0,0,0,0,0,0,316.2277660247436,200.00000000999995,499.9999999999999,,,,0,0,0
