plot_id	year	period	height_class	number_of_tree_species
101	2002	1	3000	3
101	2002	1	5000	6
102	2002	1	3000	5
102	2002	1	5000	4
103	2002	1	3000	3
103	2002	1	5000	3
104	2002	1	3000	3
104	2002	1	5000	4
105	2002	1	3000	1
105	2002	1	5000	3
106	2002	1	3000	1
106	2002	1	5000	4
107	2002	1	5000	2
108	2002	1	5000	2
109	2002	1	3000	2
109	2002	1	5000	2
110	2002	1	3000	1
110	2002	1	5000	3
111	2002	1	5000	1
113	2002	1	3000	2
113	2002	1	5000	3
114	2002	1	3000	1
114	2002	1	5000	1
115	2002	1	5000	2
116	2002	1	3000	2
116	2002	1	5000	2
117	2002	1	3000	4
117	2002	1	5000	4
118	2002	1	5000	4
119	2002	1	3000	1
119	2002	1	5000	2
120	2002	1	3000	1
120	2002	1	5000	2
121	2002	1	5000	2
123	2002	1	3000	1
123	2002	1	5000	2
124	2002	1	5000	2
125	2002	1	3000	1
125	2002	1	5000	4
126	2002	1	5000	1
127	2002	1	3000	2
127	2002	1	5000	1
128	2002	1	5000	3
129	2002	1	3000	1
129	2002	1	5000	1
131	2002	1	5000	1
132	2002	1	3000	3
132	2002	1	5000	4
133	2002	1	5000	1
134	2002	1	3000	1
134	2002	1	5000	1
136	2002	1	3000	2
136	2002	1	5000	3
137	2002	1	3000	1
137	2002	1	5000	1
138	2002	1	5000	4
139	2002	1	3000	7
139	2002	1	5000	5
140	2002	1	5000	7
141	2002	1	5000	1
142	2002	1	3000	2
142	2002	1	5000	1
143	2002	1	5000	1
144	2002	1	3000	2
144	2002	1	5000	3
145	2002	1	3000	2
145	2002	1	5000	3
146	2002	1	5000	1
147	2002	1	3000	3
147	2002	1	5000	3
401	2003	1	3000	1
402	2003	1	3000	1
402	2003	1	5000	3
403	2003	1	5000	3
404	2003	1	5000	3
405	2003	1	3000	1
405	2003	1	5000	2
406	2003	1	3000	3
406	2003	1	5000	1
409	2003	1	5000	2
410	2003	1	5000	7
414	2003	1	3000	1
415	2003	1	5000	2
416	2003	1	5000	1
417	2003	1	5000	2
418	2003	1	3000	4
418	2003	1	5000	6
419	2003	1	5000	6
420	2003	1	5000	3
423	2003	1	3000	2
427	2003	1	5000	1
428	2003	1	5000	1
431	2003	1	5000	1
439	2003	1	5000	1
443	2003	1	5000	1
445	2003	1	5000	2
446	2003	1	3000	2
448	2003	1	3000	1
448	2003	1	5000	3
449	2003	1	3000	1
449	2003	1	5000	2
454	2003	1	5000	2
456	2003	1	5000	5
457	2003	1	3000	3
458	2003	1	5000	6
460	2003	1	5000	3
463	2003	1	5000	1
473	2003	1	5000	1
476	2003	1	3000	1
477	2003	1	5000	2
479	2003	1	3000	1
479	2003	1	5000	1
480	2003	1	5000	3
483	2003	1	5000	2
485	2003	1	5000	1
489	2003	1	3000	1
490	2003	1	3000	2
492	2003	1	3000	6
493	2003	1	3000	4
493	2003	1	5000	3
494	2003	1	3000	2
494	2003	1	5000	2
495	2003	1	3000	2
495	2003	1	5000	3
497	2003	1	5000	2
498	2003	1	5000	1
499	2003	1	5000	3
501	2003	1	5000	1
504	2003	1	3000	1
507	2003	1	3000	2
507	2003	1	5000	2
510	2003	1	5000	3
511	2003	1	5000	1
512	2003	1	5000	1
514	2003	1	3000	1
514	2003	1	5000	1
516	2003	1	5000	2
517	2003	1	5000	1
518	2003	1	3000	1
521	2003	1	5000	1
522	2003	1	3000	1
522	2003	1	5000	2
701	2003	1	1000	7
701	2003	1	3000	3
701	2003	1	4000	4
702	2003	1	3000	3
702	2003	1	4000	3
703	2003	1	4000	8
704	2003	1	3000	5
704	2003	1	4000	4
705	2003	1	1000	3
705	2003	1	3000	3
705	2003	1	4000	3
706	2003	1	1000	6
706	2003	1	2000	5
706	2003	1	3000	7
708	2003	1	1000	5
708	2003	1	3000	3
708	2003	1	4000	6
709	2003	1	1000	6
709	2003	1	2000	8
709	2003	1	3000	4
709	2003	1	4000	6
710	2003	1	4000	7
711	2003	1	1000	3
711	2003	1	4000	4
712	2003	1	4000	2
713	2003	1	1000	4
713	2003	1	2000	3
713	2003	1	3000	2
713	2003	1	4000	2
714	2003	1	1000	1
714	2003	1	3000	2
714	2003	1	4000	3
715	2003	1	1000	2
715	2003	1	2000	1
715	2003	1	3000	4
715	2003	1	4000	1
716	2003	1	1000	2
716	2003	1	2000	1
716	2003	1	3000	1
717	2003	1	1000	4
717	2003	1	4000	5
718	2003	1	3000	1
718	2003	1	4000	2
719	2003	1	3000	5
719	2003	1	4000	5
720	2003	1	2000	20
720	2003	1	3000	16
720	2003	1	4000	14
721	2003	1	4000	6
722	2003	1	1000	8
722	2003	1	2000	3
722	2003	1	3000	3
723	2003	1	1000	3
723	2003	1	4000	8
724	2003	1	1000	3
724	2003	1	4000	3
725	2003	1	1000	4
725	2003	1	2000	7
725	2003	1	3000	4
725	2003	1	4000	5
726	2003	1	2000	6
726	2003	1	3000	3
727	2003	1	4000	5
728	2003	1	3000	3
728	2003	1	4000	2
729	2003	1	3000	7
729	2003	1	4000	3
730	2003	1	4000	1
731	2003	1	4000	2
732	2003	1	1000	1
732	2003	1	3000	2
733	2003	1	3000	2
733	2003	1	4000	4
734	2003	1	4000	1
735	2003	1	1000	1
735	2003	1	3000	1
735	2003	1	4000	2
736	2003	1	4000	1
737	2003	1	1000	1
738	2003	1	1000	10
738	2003	1	2000	3
738	2003	1	3000	6
738	2003	1	4000	3
739	2003	1	1000	6
740	2003	1	1000	2
740	2003	1	3000	5
740	2003	1	4000	3
741	2003	1	3000	1
741	2003	1	4000	1
745	2003	1	1000	4
745	2003	1	3000	2
745	2003	1	4000	4
746	2003	1	1000	1
746	2003	1	3000	1
746	2003	1	4000	3
747	2003	1	1000	1
747	2003	1	2000	6
747	2003	1	3000	1
747	2003	1	4000	1
748	2003	1	3000	1
748	2003	1	4000	1
749	2003	1	3000	2
749	2003	1	4000	1
750	2003	1	1000	1
750	2003	1	2000	1
750	2003	1	3000	4
750	2003	1	4000	1
751	2003	1	1000	1
751	2003	1	3000	1
751	2003	1	4000	1
752	2003	1	1000	1
752	2003	1	3000	1
752	2003	1	4000	1
753	2003	1	4000	3
754	2003	1	3000	2
754	2003	1	4000	1
755	2003	1	1000	2
755	2003	1	3000	1
755	2003	1	4000	1
756	2003	1	3000	2
757	2003	1	3000	3
759	2003	1	4000	3
760	2003	1	2000	5
760	2003	1	3000	3
760	2003	1	4000	3
761	2003	1	1000	5
761	2003	1	4000	4
762	2003	1	1000	4
762	2003	1	2000	3
762	2003	1	4000	3
763	2003	1	4000	3
764	2003	1	1000	1
764	2003	1	3000	1
764	2003	1	4000	1
765	2003	1	4000	2
766	2003	1	1000	2
766	2003	1	3000	1
766	2003	1	4000	1
768	2003	1	1000	1
768	2003	1	3000	2
801	2004	1	1000	20
801	2004	1	2000	16
801	2004	1	3000	15
802	2004	1	1000	14
802	2004	1	2000	4
802	2004	1	3000	4
803	2004	1	1000	6
803	2004	1	2000	4
803	2004	1	3000	8
803	2004	1	4000	6
804	2004	1	1000	5
804	2004	1	2000	2
804	2004	1	3000	2
804	2004	1	4000	5
805	2004	1	3000	7
805	2004	1	4000	2
806	2004	1	1000	7
806	2004	1	2000	4
806	2004	1	3000	4
806	2004	1	4000	3
807	2004	1	1000	2
807	2004	1	3000	3
807	2004	1	4000	3
808	2004	1	1000	4
808	2004	1	4000	10
809	2004	1	1000	4
809	2004	1	2000	5
809	2004	1	3000	4
809	2004	1	4000	3
810	2004	1	1000	6
810	2004	1	3000	3
810	2004	1	4000	8
811	2004	1	1000	5
811	2004	1	2000	3
811	2004	1	3000	3
811	2004	1	4000	3
812	2004	1	1000	5
812	2004	1	2000	8
812	2004	1	3000	2
812	2004	1	4000	7
813	2004	1	1000	2
813	2004	1	2000	6
813	2004	1	3000	5
813	2004	1	4000	4
814	2004	1	1000	7
815	2004	1	1000	5
815	2004	1	3000	3
815	2004	1	4000	6
816	2004	1	1000	2
816	2004	1	4000	6
817	2004	1	1000	3
817	2004	1	4000	2
819	2004	1	3000	8
819	2004	1	4000	4
820	2004	1	1000	4
820	2004	1	4000	6
821	2004	1	1000	6
821	2004	1	2000	4
821	2004	1	3000	5
822	2004	1	1000	5
822	2004	1	2000	4
822	2004	1	3000	7
822	2004	1	4000	4
824	2004	1	1000	5
824	2004	1	3000	7
825	2004	1	1000	6
825	2004	1	4000	3
827	2004	1	1000	3
827	2004	1	3000	5
829	2004	1	1000	5
829	2004	1	2000	3
829	2004	1	3000	3
829	2004	1	4000	3
831	2004	1	1000	3
841	2005	1	1000	20
841	2005	1	3000	16
841	2005	1	4000	15
842	2005	1	1000	14
842	2005	1	2000	4
843	2005	1	1000	4
844	2005	1	1000	6
844	2005	1	2000	4
844	2005	1	3000	8
844	2005	1	4000	6
845	2005	1	1000	5
845	2005	1	2000	2
845	2005	1	4000	2
846	2005	1	1000	5
847	2005	1	1000	7
847	2005	1	3000	2
847	2005	1	4000	7
848	2005	1	1000	4
849	2005	1	1000	4
849	2005	1	2000	3
849	2005	1	4000	2
850	2005	1	1000	3
850	2005	1	2000	3
850	2005	1	4000	4
851	2005	1	1000	10
851	2005	1	2000	4
852	2005	1	1000	5
853	2005	1	1000	4
854	2005	1	1000	3
854	2005	1	2000	6
854	2005	1	4000	3
855	2005	1	1000	8
856	2005	1	1000	5
857	2005	1	2000	3
857	2005	1	3000	3
857	2005	1	4000	3
858	2005	1	1000	5
859	2005	1	1000	8
859	2005	1	4000	2
860	2005	1	1000	7
860	2005	1	4000	2
861	2005	1	1000	6
861	2005	1	2000	5
861	2005	1	4000	4
862	2005	1	1000	7
863	2005	1	1000	5
863	2005	1	3000	3
864	2005	1	1000	6
864	2005	1	4000	2
865	2005	1	1000	6
865	2005	1	2000	3
865	2005	1	4000	2
866	2005	1	1000	8
866	2005	1	4000	4
867	2005	1	1000	4
868	2005	1	1000	6
868	2005	1	4000	6
869	2005	1	1000	4
869	2005	1	4000	5
870	2005	1	1000	5
870	2005	1	4000	4
871	2005	1	1000	7
872	2005	1	1000	4
872	2005	1	3000	5
873	2005	1	1000	7
873	2005	1	2000	6
873	2005	1	3000	3
873	2005	1	4000	3
874	2005	1	1000	5
875	2005	1	1000	5
875	2005	1	2000	3
875	2005	1	3000	3
875	2005	1	4000	3
876	2005	1	3000	3
877	2005	1	1000	5
877	2005	1	3000	3
878	2005	1	1000	5
878	2005	1	4000	3
879	2005	1	3000	1
879	2005	1	4000	2
880	2005	1	1000	5
880	2005	1	4000	3
881	2005	1	1000	3
881	2005	1	3000	3
881	2005	1	4000	2
882	2005	1	2000	3
882	2005	1	3000	3
882	2005	1	4000	3
883	2005	1	1000	4
883	2005	1	2000	2
883	2005	1	3000	3
883	2005	1	4000	1
884	2005	1	1000	3
884	2005	1	2000	4
884	2005	1	3000	2
884	2005	1	4000	4
885	2005	1	1000	5
885	2005	1	3000	2
885	2005	1	4000	2
886	2005	1	1000	4
887	2005	1	1000	4
887	2005	1	3000	4
887	2005	1	4000	2
889	2005	1	1000	7
889	2005	1	3000	1
889	2005	1	4000	1
890	2005	1	1000	6
888	2006	1	1000	5
888	2006	1	2000	3
888	2006	1	3000	3
888	2006	1	4000	1
901	2006	1	1000	20
901	2006	1	2000	16
901	2006	1	3000	15
902	2006	1	1000	20
902	2006	1	2000	16
903	2006	1	1000	20
903	2006	1	2000	16
903	2006	1	4000	15
904	2006	1	1000	20
905	2006	1	1000	20
906	2006	1	1000	20
906	2006	1	2000	16
906	2006	1	3000	15
906	2006	1	4000	14
907	2006	1	1000	20
907	2006	1	2000	16
908	2006	1	1000	20
908	2006	1	2000	16
908	2006	1	4000	15
909	2006	1	3000	20
909	2006	1	4000	16
910	2006	1	1000	20
910	2006	1	2000	16
911	2006	1	1000	20
911	2006	1	3000	16
912	2006	1	1000	20
912	2006	1	2000	16
912	2006	1	3000	15
912	2006	1	4000	14
913	2006	1	1000	20
913	2006	1	2000	16
913	2006	1	3000	15
914	2006	1	1000	20
915	2006	1	1000	20
916	2006	1	2000	20
917	2006	1	2000	20
917	2006	1	3000	16
917	2006	1	4000	15
918	2006	1	1000	20
918	2006	1	2000	16
918	2006	1	3000	15
918	2006	1	4000	14
919	2006	1	1000	20
919	2006	1	2000	16
919	2006	1	3000	15
919	2006	1	4000	14
920	2006	1	1000	20
920	2006	1	2000	16
920	2006	1	3000	15
920	2006	1	4000	14
921	2006	1	1000	20
922	2006	1	1000	20
922	2006	1	2000	16
922	2006	1	3000	15
922	2006	1	4000	14
923	2006	1	1000	20
923	2006	1	2000	16
925	2006	1	1000	20
926	2006	1	1000	20
926	2006	1	3000	16
926	2006	1	4000	15
927	2006	1	1000	20
928	2006	1	1000	20
928	2006	1	3000	16
928	2006	1	4000	15
929	2006	1	1000	20
930	2006	1	1000	20
930	2006	1	2000	16
930	2006	1	3000	15
931	2006	1	1000	20
932	2006	1	1000	20
933	2006	1	1000	20
933	2006	1	2000	16
934	2006	1	1000	20
934	2006	1	3000	16
934	2006	1	4000	15
935	2006	1	1000	20
935	2006	1	2000	16
935	2006	1	3000	15
935	2006	1	4000	14
936	2006	1	1000	20
936	2006	1	2000	16
936	2006	1	3000	15
936	2006	1	4000	14
937	2006	1	1000	20
937	2006	1	2000	16
937	2006	1	3000	15
937	2006	1	4000	14
938	2006	1	1000	20
938	2006	1	4000	16
939	2006	1	1000	20
939	2006	1	2000	16
939	2006	1	3000	15
939	2006	1	4000	14
940	2006	1	1000	20
940	2006	1	3000	16
940	2006	1	4000	15
941	2006	1	1000	20
942	2006	1	1000	20
942	2006	1	3000	16
942	2006	1	4000	15
943	2006	1	1000	20
943	2006	1	2000	16
943	2006	1	3000	15
943	2006	1	4000	14
944	2006	1	1000	20
944	2006	1	3000	16
944	2006	1	4000	15
945	2006	1	1000	20
945	2006	1	4000	16
947	2006	1	1000	20
947	2006	1	4000	16
948	2006	1	1000	20
948	2006	1	2000	16
948	2006	1	3000	15
948	2006	1	4000	14
949	2006	1	1000	20
949	2006	1	3000	16
949	2006	1	4000	15
950	2006	1	1000	20
950	2006	1	3000	16
951	2006	1	1000	20
951	2006	1	2000	16
951	2006	1	3000	15
951	2006	1	4000	14
952	2006	1	1000	20
952	2006	1	2000	16
952	2006	1	4000	15
953	2006	1	1000	20
953	2006	1	3000	16
953	2006	1	4000	15
954	2006	1	1000	20
954	2006	1	2000	16
954	2006	1	3000	15
954	2006	1	4000	14
955	2006	1	1000	20
955	2006	1	2000	16
955	2006	1	3000	15
956	2006	1	1000	20
956	2006	1	2000	16
956	2006	1	4000	15
958	2006	1	1000	20
958	2006	1	2000	16
959	2006	1	1000	20
959	2006	1	3000	16
959	2006	1	4000	15
960	2006	1	1000	20
960	2006	1	2000	16
960	2006	1	4000	15
961	2006	1	1000	20
961	2006	1	4000	16
962	2006	1	1000	20
962	2006	1	4000	16
963	2006	1	1000	20
963	2006	1	2000	16
963	2006	1	3000	15
963	2006	1	4000	14
964	2006	1	1000	20
964	2006	1	2000	16
964	2006	1	3000	15
964	2006	1	4000	14
965	2006	1	1000	20
966	2006	1	1000	20
966	2006	1	4000	16
101	2013	2	1000	27
101	2013	2	2000	26
101	2013	2	3000	26
101	2013	2	4000	20
102	2013	2	1000	27
102	2013	2	2000	26
102	2013	2	3000	26
102	2013	2	4000	20
103	2013	2	1000	27
103	2013	2	2000	26
103	2013	2	3000	26
103	2013	2	4000	20
104	2013	2	1000	27
104	2013	2	2000	26
104	2013	2	3000	26
104	2013	2	4000	20
105	2013	2	1000	27
105	2013	2	2000	26
105	2013	2	3000	26
105	2013	2	4000	20
106	2013	2	1000	27
106	2013	2	2000	26
106	2013	2	3000	26
106	2013	2	4000	20
107	2013	2	1000	27
107	2013	2	2000	26
107	2013	2	3000	26
107	2013	2	4000	20
108	2013	2	1000	27
108	2013	2	2000	26
108	2013	2	3000	26
108	2013	2	4000	20
109	2013	2	1000	27
109	2013	2	2000	26
109	2013	2	3000	26
109	2013	2	4000	20
110	2013	2	1000	27
110	2013	2	2000	26
110	2013	2	3000	26
110	2013	2	4000	20
111	2013	2	1000	27
111	2013	2	2000	26
111	2013	2	3000	26
111	2013	2	4000	20
112	2013	2	1000	27
112	2013	2	2000	26
112	2013	2	3000	26
112	2013	2	4000	20
113	2013	2	1000	27
113	2013	2	2000	26
113	2013	2	3000	26
113	2013	2	4000	20
114	2013	2	1000	27
114	2013	2	2000	26
114	2013	2	3000	26
114	2013	2	4000	20
115	2013	2	1000	27
115	2013	2	2000	26
115	2013	2	3000	26
115	2013	2	4000	20
116	2013	2	1000	27
116	2013	2	2000	26
116	2013	2	3000	26
116	2013	2	4000	20
117	2013	2	1000	27
117	2013	2	2000	26
117	2013	2	3000	26
117	2013	2	4000	20
118	2013	2	1000	27
118	2013	2	2000	26
118	2013	2	3000	26
118	2013	2	4000	20
119	2013	2	1000	27
119	2013	2	2000	26
119	2013	2	3000	26
119	2013	2	4000	20
120	2013	2	1000	27
120	2013	2	2000	26
120	2013	2	3000	26
120	2013	2	4000	20
121	2013	2	1000	27
121	2013	2	2000	26
121	2013	2	3000	26
121	2013	2	4000	20
122	2013	2	1000	27
122	2013	2	2000	26
122	2013	2	3000	26
122	2013	2	4000	20
123	2013	2	1000	27
123	2013	2	2000	26
123	2013	2	3000	26
123	2013	2	4000	20
124	2013	2	1000	27
124	2013	2	2000	26
124	2013	2	3000	26
124	2013	2	4000	20
125	2013	2	1000	27
125	2013	2	2000	26
125	2013	2	3000	26
125	2013	2	4000	20
127	2013	2	1000	27
127	2013	2	4000	7
128	2013	2	1000	27
128	2013	2	2000	26
128	2013	2	3000	26
128	2013	2	4000	20
129	2013	2	1000	27
129	2013	2	3000	26
130	2013	2	3000	27
131	2013	2	1000	27
131	2013	2	2000	26
131	2013	2	3000	26
131	2013	2	4000	20
132	2013	2	1000	27
132	2013	2	2000	26
132	2013	2	3000	26
132	2013	2	4000	20
133	2013	2	1000	27
133	2013	2	2000	26
133	2013	2	3000	26
133	2013	2	4000	20
134	2013	2	1000	27
134	2013	2	2000	26
134	2013	2	3000	26
134	2013	2	4000	20
135	2013	2	1000	27
135	2013	2	2000	26
135	2013	2	3000	26
135	2013	2	4000	20
136	2013	2	1000	27
136	2013	2	2000	26
136	2013	2	3000	26
136	2013	2	4000	20
137	2013	2	1000	27
137	2013	2	2000	26
137	2013	2	3000	26
137	2013	2	4000	20
138	2013	2	1000	27
138	2013	2	2000	26
138	2013	2	3000	26
138	2013	2	4000	20
139	2013	2	1000	27
139	2013	2	2000	26
139	2013	2	3000	26
139	2013	2	4000	20
140	2013	2	1000	27
140	2013	2	2000	26
140	2013	2	3000	26
140	2013	2	4000	20
141	2013	2	1000	27
142	2013	2	1000	27
142	2013	2	2000	26
142	2013	2	3000	26
142	2013	2	4000	20
143	2013	2	1000	27
143	2013	2	2000	26
143	2013	2	3000	26
143	2013	2	4000	20
144	2013	2	1000	27
144	2013	2	2000	26
144	2013	2	3000	26
144	2013	2	4000	20
145	2013	2	1000	27
145	2013	2	2000	26
145	2013	2	3000	26
145	2013	2	4000	20
146	2013	2	1000	27
146	2013	2	2000	26
146	2013	2	3000	26
146	2013	2	4000	20
147	2013	2	1000	27
147	2013	2	2000	26
147	2013	2	3000	26
147	2013	2	4000	20
148	2013	2	1000	27
148	2013	2	2000	26
148	2013	2	3000	26
148	2013	2	4000	20
401	2013	2	1000	27
401	2013	2	2000	26
401	2013	2	3000	26
401	2013	2	4000	20
402	2013	2	1000	27
402	2013	2	2000	26
402	2013	2	3000	26
402	2013	2	4000	20
403	2013	2	1000	27
403	2013	2	2000	26
403	2013	2	3000	26
403	2013	2	4000	20
404	2013	2	1000	27
404	2013	2	2000	26
404	2013	2	3000	26
404	2013	2	4000	20
405	2013	2	1000	27
405	2013	2	2000	26
405	2013	2	3000	26
405	2013	2	4000	20
406	2013	2	1000	27
406	2013	2	2000	26
406	2013	2	3000	26
406	2013	2	4000	20
407	2013	2	1000	27
407	2013	2	2000	26
407	2013	2	3000	26
407	2013	2	4000	20
408	2013	2	1000	27
408	2013	2	2000	26
408	2013	2	3000	26
408	2013	2	4000	20
409	2013	2	1000	27
409	2013	2	2000	26
409	2013	2	3000	26
409	2013	2	4000	20
410	2013	2	1000	27
410	2013	2	2000	26
410	2013	2	3000	26
410	2013	2	4000	20
411	2013	2	1000	27
411	2013	2	2000	26
411	2013	2	3000	26
411	2013	2	4000	20
412	2013	2	1000	27
412	2013	2	2000	26
412	2013	2	3000	26
412	2013	2	4000	20
413	2013	2	1000	27
413	2013	2	2000	26
413	2013	2	3000	26
413	2013	2	4000	20
414	2013	2	1000	27
414	2013	2	2000	26
414	2013	2	3000	26
414	2013	2	4000	20
415	2013	2	1000	27
415	2013	2	2000	26
415	2013	2	3000	26
415	2013	2	4000	20
416	2013	2	1000	27
416	2013	2	2000	26
416	2013	2	3000	26
416	2013	2	4000	20
417	2013	2	1000	27
417	2013	2	2000	26
417	2013	2	3000	26
417	2013	2	4000	20
418	2013	2	1000	27
418	2013	2	2000	26
418	2013	2	3000	26
418	2013	2	4000	20
419	2013	2	1000	27
419	2013	2	2000	26
419	2013	2	3000	26
419	2013	2	4000	20
420	2013	2	1000	27
420	2013	2	2000	26
420	2013	2	3000	26
420	2013	2	4000	20
421	2013	2	1000	27
421	2013	2	2000	26
421	2013	2	3000	26
421	2013	2	4000	20
422	2013	2	1000	27
422	2013	2	2000	26
422	2013	2	3000	26
422	2013	2	4000	20
423	2013	2	1000	27
423	2013	2	2000	26
423	2013	2	3000	26
423	2013	2	4000	20
425	2013	2	1000	27
425	2013	2	2000	26
425	2013	2	3000	26
425	2013	2	4000	20
427	2013	2	1000	27
427	2013	2	2000	26
427	2013	2	3000	26
427	2013	2	4000	20
428	2013	2	1000	27
428	2013	2	2000	26
428	2013	2	3000	26
428	2013	2	4000	20
429	2013	2	1000	27
429	2013	2	2000	26
429	2013	2	3000	26
429	2013	2	4000	20
430	2013	2	1000	27
430	2013	2	2000	26
430	2013	2	3000	26
430	2013	2	4000	20
431	2013	2	1000	27
431	2013	2	2000	26
431	2013	2	3000	26
431	2013	2	4000	20
432	2013	2	1000	27
432	2013	2	2000	26
432	2013	2	3000	26
432	2013	2	4000	20
433	2013	2	1000	26
433	2013	2	2000	26
433	2013	2	3000	20
433	2013	2	4000	7
434	2013	2	1000	27
434	2013	2	2000	26
434	2013	2	3000	26
434	2013	2	4000	20
435	2013	2	1000	27
435	2013	2	2000	26
435	2013	2	3000	26
