plot_id	year	period	number_of_tree_species
101	2002	1	7
102	2002	1	7
103	2002	1	4
104	2002	1	5
105	2002	1	4
106	2002	1	4
107	2002	1	2
108	2002	1	2
109	2002	1	3
110	2002	1	3
111	2002	1	1
113	2002	1	3
114	2002	1	1
115	2002	1	2
116	2002	1	3
117	2002	1	7
118	2002	1	4
119	2002	1	2
120	2002	1	3
121	2002	1	2
123	2002	1	3
124	2002	1	2
125	2002	1	5
126	2002	1	1
127	2002	1	3
128	2002	1	3
129	2002	1	1
131	2002	1	1
132	2002	1	4
133	2002	1	1
134	2002	1	1
136	2002	1	3
137	2002	1	1
138	2002	1	4
139	2002	1	10
140	2002	1	7
141	2002	1	1
142	2002	1	3
143	2002	1	1
144	2002	1	4
145	2002	1	3
146	2002	1	1
147	2002	1	5
401	2003	1	1
402	2003	1	3
403	2003	1	3
404	2003	1	3
405	2003	1	2
406	2003	1	4
409	2003	1	2
410	2003	1	7
414	2003	1	1
415	2003	1	2
416	2003	1	1
417	2003	1	2
418	2003	1	7
419	2003	1	6
420	2003	1	3
423	2003	1	2
427	2003	1	1
428	2003	1	1
431	2003	1	1
439	2003	1	1
443	2003	1	1
445	2003	1	2
446	2003	1	2
448	2003	1	3
449	2003	1	2
454	2003	1	2
456	2003	1	5
457	2003	1	3
458	2003	1	6
460	2003	1	3
463	2003	1	1
473	2003	1	1
476	2003	1	1
477	2003	1	2
479	2003	1	1
480	2003	1	3
483	2003	1	2
485	2003	1	1
489	2003	1	1
490	2003	1	2
492	2003	1	6
493	2003	1	5
494	2003	1	3
495	2003	1	5
497	2003	1	2
498	2003	1	1
499	2003	1	3
501	2003	1	1
504	2003	1	1
507	2003	1	4
510	2003	1	3
511	2003	1	1
512	2003	1	1
514	2003	1	2
516	2003	1	2
517	2003	1	1
518	2003	1	1
521	2003	1	1
522	2003	1	3
701	2003	1	11
702	2003	1	6
703	2003	1	8
704	2003	1	7
705	2003	1	6
706	2003	1	11
708	2003	1	10
709	2003	1	12
710	2003	1	7
711	2003	1	5
712	2003	1	2
713	2003	1	7
714	2003	1	5
715	2003	1	6
716	2003	1	3
717	2003	1	7
718	2003	1	2
719	2003	1	7
720	2003	1	23
721	2003	1	6
722	2003	1	10
723	2003	1	10
724	2003	1	4
725	2003	1	9
726	2003	1	7
727	2003	1	5
728	2003	1	3
729	2003	1	8
730	2003	1	1
731	2003	1	2
732	2003	1	2
733	2003	1	5
734	2003	1	1
735	2003	1	4
736	2003	1	1
737	2003	1	1
738	2003	1	15
739	2003	1	6
740	2003	1	7
741	2003	1	1
745	2003	1	6
746	2003	1	4
747	2003	1	6
748	2003	1	2
749	2003	1	2
750	2003	1	4
751	2003	1	2
752	2003	1	2
753	2003	1	3
754	2003	1	2
755	2003	1	3
756	2003	1	2
757	2003	1	3
759	2003	1	3
760	2003	1	8
761	2003	1	6
762	2003	1	5
763	2003	1	3
764	2003	1	2
765	2003	1	2
766	2003	1	2
768	2003	1	2
801	2004	1	23
802	2004	1	15
803	2004	1	12
804	2004	1	7
805	2004	1	8
806	2004	1	11
807	2004	1	4
808	2004	1	12
809	2004	1	7
810	2004	1	12
811	2004	1	9
812	2004	1	10
813	2004	1	12
814	2004	1	7
815	2004	1	10
816	2004	1	7
817	2004	1	3
819	2004	1	10
820	2004	1	6
821	2004	1	11
822	2004	1	10
824	2004	1	10
825	2004	1	7
827	2004	1	8
829	2004	1	9
831	2004	1	3
841	2005	1	23
842	2005	1	14
843	2005	1	4
844	2005	1	12
845	2005	1	6
846	2005	1	5
847	2005	1	13
848	2005	1	4
849	2005	1	6
850	2005	1	6
851	2005	1	10
852	2005	1	5
853	2005	1	4
854	2005	1	8
855	2005	1	8
856	2005	1	5
857	2005	1	6
858	2005	1	5
859	2005	1	8
860	2005	1	8
861	2005	1	12
862	2005	1	7
863	2005	1	8
864	2005	1	6
865	2005	1	9
866	2005	1	10
867	2005	1	4
868	2005	1	9
869	2005	1	7
870	2005	1	7
871	2005	1	7
872	2005	1	6
873	2005	1	11
874	2005	1	5
875	2005	1	9
876	2005	1	3
877	2005	1	8
878	2005	1	8
879	2005	1	2
880	2005	1	7
881	2005	1	4
882	2005	1	4
883	2005	1	7
884	2005	1	7
885	2005	1	7
886	2005	1	4
887	2005	1	7
889	2005	1	8
890	2005	1	6
888	2006	1	8
901	2006	1	23
902	2006	1	22
903	2006	1	23
904	2006	1	20
905	2006	1	20
906	2006	1	24
907	2006	1	22
908	2006	1	23
909	2006	1	22
910	2006	1	22
911	2006	1	22
912	2006	1	24
913	2006	1	23
914	2006	1	20
915	2006	1	20
916	2006	1	20
917	2006	1	23
918	2006	1	24
919	2006	1	24
920	2006	1	24
921	2006	1	20
922	2006	1	24
923	2006	1	22
925	2006	1	20
926	2006	1	23
927	2006	1	20
928	2006	1	23
929	2006	1	20
930	2006	1	23
931	2006	1	20
932	2006	1	20
933	2006	1	22
934	2006	1	23
935	2006	1	24
936	2006	1	24
937	2006	1	24
938	2006	1	22
939	2006	1	24
940	2006	1	23
941	2006	1	20
942	2006	1	23
943	2006	1	24
944	2006	1	23
945	2006	1	22
947	2006	1	22
948	2006	1	24
949	2006	1	23
950	2006	1	22
951	2006	1	24
952	2006	1	23
953	2006	1	23
954	2006	1	24
955	2006	1	23
956	2006	1	23
958	2006	1	22
959	2006	1	23
960	2006	1	23
961	2006	1	22
962	2006	1	22
963	2006	1	24
964	2006	1	24
965	2006	1	20
966	2006	1	22
101	2013	2	33
102	2013	2	33
103	2013	2	33
104	2013	2	33
105	2013	2	33
106	2013	2	33
107	2013	2	33
108	2013	2	33
109	2013	2	33
110	2013	2	33
111	2013	2	33
112	2013	2	33
113	2013	2	33
114	2013	2	33
115	2013	2	33
116	2013	2	33
117	2013	2	33
118	2013	2	33
119	2013	2	33
120	2013	2	33
121	2013	2	33
122	2013	2	33
123	2013	2	33
124	2013	2	33
125	2013	2	33
127	2013	2	27
128	2013	2	33
129	2013	2	29
130	2013	2	27
131	2013	2	33
132	2013	2	33
133	2013	2	33
134	2013	2	33
135	2013	2	33
136	2013	2	33
137	2013	2	33
138	2013	2	33
139	2013	2	33
140	2013	2	33
141	2013	2	27
142	2013	2	33
143	2013	2	33
144	2013	2	33
145	2013	2	33
146	2013	2	33
147	2013	2	33
148	2013	2	33
401	2013	2	33
402	2013	2	33
403	2013	2	33
404	2013	2	33
405	2013	2	33
406	2013	2	33
407	2013	2	33
408	2013	2	33
409	2013	2	33
410	2013	2	33
411	2013	2	33
412	2013	2	33
413	2013	2	33
414	2013	2	33
415	2013	2	33
416	2013	2	33
417	2013	2	33
418	2013	2	33
419	2013	2	33
420	2013	2	33
421	2013	2	33
422	2013	2	33
423	2013	2	33
425	2013	2	33
427	2013	2	33
428	2013	2	33
429	2013	2	33
430	2013	2	33
431	2013	2	33
432	2013	2	33
433	2013	2	30
434	2013	2	33
435	2013	2	33
436	2013	2	33
437	2013	2	33
438	2013	2	33
439	2013	2	33
440	2013	2	33
441	2013	2	33
442	2013	2	33
443	2013	2	33
444	2013	2	33
445	2013	2	33
446	2013	2	33
447	2013	2	33
448	2013	2	33
449	2013	2	33
450	2013	2	33
451	2013	2	33
452	2013	2	33
453	2013	2	33
454	2013	2	33
455	2013	2	33
456	2013	2	33
457	2013	2	33
458	2013	2	33
459	2013	2	33
460	2013	2	33
461	2013	2	33
462	2013	2	33
463	2013	2	33
464	2013	2	33
465	2013	2	33
466	2013	2	33
467	2013	2	33
468	2013	2	33
469	2013	2	33
470	2013	2	33
471	2013	2	33
472	2013	2	33
473	2013	2	33
474	2013	2	33
475	2013	2	10
476	2013	2	33
477	2013	2	33
478	2013	2	33
479	2013	2	33
480	2013	2	33
481	2013	2	33
483	2013	2	33
484	2013	2	33
485	2013	2	33
486	2013	2	33
487	2013	2	33
488	2013	2	33
489	2013	2	33
490	2013	2	33
491	2013	2	33
492	2013	2	33
493	2013	2	33
494	2013	2	33
495	2013	2	33
496	2013	2	33
497	2013	2	33
498	2013	2	33
499	2013	2	21
500	2013	2	33
501	2013	2	30
502	2013	2	33
503	2013	2	33
504	2013	2	33
505	2013	2	33
506	2013	2	33
507	2013	2	33
508	2013	2	33
509	2013	2	33
510	2013	2	33
511	2013	2	33
512	2013	2	33
513	2013	2	33
514	2013	2	33
515	2013	2	33
516	2013	2	33
517	2013	2	33
518	2013	2	33
519	2013	2	33
520	2013	2	33
521	2013	2	33
522	2013	2	33
523	2013	2	28
701	2014	2	33
702	2014	2	33
703	2014	2	32
704	2014	2	32
705	2014	2	32
707	2014	2	32
708	2014	2	32
709	2014	2	29
710	2014	2	29
711	2014	2	33
712	2014	2	33
713	2014	2	29
714	2014	2	29
715	2014	2	33
716	2014	2	33
717	2014	2	32
718	2014	2	33
719	2014	2	33
720	2014	2	33
721	2014	2	29
722	2014	2	32
723	2014	2	29
724	2014	2	27
725	2014	2	33
726	2014	2	32
727	2014	2	33
728	2014	2	30
729	2014	2	29
730	2014	2	27
731	2014	2	32
732	2014	2	29
733	2014	2	29
734	2014	2	32
735	2014	2	32
736	2014	2	27
737	2014	2	32
738	2014	2	29
739	2014	2	33
740	2014	2	33
742	2014	2	27
743	2014	2	27
745	2014	2	29
746	2014	2	32
747	2014	2	32
748	2014	2	33
749	2014	2	33
750	2014	2	33
751	2014	2	27
752	2014	2	29
753	2014	2	32
754	2014	2	29
755	2014	2	33
756	2014	2	29
757	2014	2	27
758	2014	2	27
759	2014	2	29
760	2014	2	29
761	2014	2	33
762	2014	2	32
763	2014	2	32
764	2014	2	32
765	2014	2	27
766	2014	2	33
767	2014	2	27
768	2014	2	27
801	2014	2	27
802	2014	2	27
803	2014	2	33
804	2014	2	33
805	2014	2	29
806	2014	2	33
807	2014	2	29
808	2014	2	27
809	2014	2	32
810	2014	2	27
811	2014	2	32
812	2014	2	33
813	2014	2	29
814	2014	2	27
815	2014	2	29
816	2014	2	29
817	2014	2	29
818	2014	2	29
819	2014	2	27
820	2014	2	32
821	2014	2	33
822	2014	2	33
823	2014	2	27
824	2014	2	27
825	2014	2	27
826	2014	2	27
827	2014	2	27
828	2014	2	27
829	2014	2	32
830	2014	2	27
831	2014	2	27
832	2014	2	27
833	2014	2	29
841	2015	2	30
842	2015	2	29
843	2015	2	27
844	2015	2	33
845	2015	2	32
846	2015	2	27
847	2015	2	32
848	2015	2	27
849	2015	2	27
850	2015	2	29
851	2015	2	29
852	2015	2	27
853	2015	2	27
854	2015	2	27
855	2015	2	29
856	2015	2	29
857	2015	2	28
858	2015	2	29
859	2015	2	32
860	2015	2	29
861	2015	2	29
862	2015	2	27
863	2015	2	27
864	2015	2	33
865	2015	2	33
866	2015	2	33
867	2015	2	32
868	2015	2	32
869	2015	2	32
870	2015	2	33
871	2015	2	32
872	2015	2	33
873	2015	2	33
874	2015	2	32
875	2015	2	32
876	2015	2	32
877	2015	2	32
878	2015	2	32
879	2015	2	32
880	2015	2	32
881	2015	2	32
882	2015	2	29
883	2015	2	32
884	2015	2	32
885	2015	2	33
886	2015	2	27
887	2015	2	30
888	2015	2	30
889	2015	2	33
890	2015	2	32
901	2016	2	32
902	2016	2	33
903	2016	2	33
904	2016	2	29
906	2016	2	30
907	2016	2	32
908	2016	2	33
909	2016	2	29
910	2016	2	32
911	2016	2	29
912	2016	2	33
913	2016	2	32
915	2016	2	27
916	2016	2	27
917	2016	2	32
918	2016	2	29
919	2016	2	33
920	2016	2	33
921	2016	2	27
922	2016	2	29
923	2016	2	29
925	2016	2	27
926	2016	2	33
927	2016	2	29
928	2016	2	32
929	2016	2	32
930	2016	2	33
931	2016	2	27
932	2016	2	29
933	2016	2	33
934	2016	2	33
935	2016	2	33
936	2016	2	33
937	2016	2	33
938	2016	2	29
939	2016	2	33
940	2016	2	33
941	2016	2	33
942	2016	2	30
943	2016	2	32
944	2016	2	30
945	2016	2	32
946	2016	2	33
947	2016	2	33
948	2016	2	33
949	2016	2	32
950	2016	2	32
951	2016	2	32
952	2016	2	33
953	2016	2	33
954	2016	2	33
955	2016	2	33
956	2016	2	33
957	2016	2	33
958	2016	2	32
959	2016	2	33
960	2016	2	29
961	2016	2	32
962	2016	2	29
963	2016	2	33
964	2016	2	32
965	2016	2	32
966	2016	2	33
